Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Eswatini,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.03,0.02,0.01,0.00,0.01,0.01,0.01,0.00,0.07,0.04,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Armenia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,false,0.00,false,false,false,false,false,false,false,0.00,false,false,false,0.00,false,0.00,false,false,false,false,false,0.00
Austria,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,0.00,0.00,false,false,false,0.00
Bosnia and Herzegovina,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.03,0.01,0.06,0.00,0.00,0.01,0.00,0.00,0.01,false,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,false,0.00,0.00
Fiji,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,false,false,0.01,false,false,false,false,0.00,0.01,0.00,false,false,false,0.00,0.00,false,false,0.00
France,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02,false,0.00,0.01,0.01,0.01,0.00,0.03,0.00,0.01,0.00,0.00,0.04,0.00
Greece,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.02,false,false,false,false,false,0.00,0.04,0.00,false,false,0.01,0.00,false,0.00,false,0.01,0.00,0.00
Iran,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,false,false,false,false,0.00,false,0.00,false,false,0.03,0.00,0.00,false,false,false,false,0.00,0.00
Latvia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,false,false,0.00,0.00,0.00,0.00,0.01,0.00,false,false,false,false,false,0.00,false,false,false,false,0.00,false,false,0.00
Norway,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,false,false,false,false,0.00,0.00,false,false,false,false,false,false,false,false,false,false,0.00
Panama,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.01,0.00,false,0.00,0.00,0.00,0.01,0.01,false,0.00
Serbia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,false,0.00,0.00,false,false,false,0.01,false,0.00,false,0.01,0.01,false,false,false,false,0.00,0.00
Slovakia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,false,false,false,false,false,false,0.00,false,false,false,0.00
Slovenia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,false,false,false,false,false,false,0.00,false,false,0.00,false,false,false,false,0.00,0.00,false,false,false,false,false,0.00
Suriname,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkey,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,false,false,0.00,false,0.00,0.00,0.00,0.00,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United Kingdom,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uruguay,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,false,false,false,0.00,0.00,false,false,0.00,false,false,0.00,false,false,false,false,false,0.00,0.00
Afghanistan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Albania,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.03,false,false,0.00,false,false,false,0.00,false,0.00,false,0.00,0.00,false,false,false,false,0.00,false
Algeria,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.16,0.00,0.02,0.03,0.01,0.02,0.03,0.10,0.05,0.01,0.00,0.05,0.10,0.01,0.01,0.00,0.02,0.15,false
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Antigua and Barbuda,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bahrain,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Barbados,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Belgium,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Botswana,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.06,0.08,0.06,0.02,0.00,false,0.00,false,false,false,false,false,false,false,false,false,false,false,false,0.00,false,false
Brunei,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.08,0.00,0.00,false,false,0.00,false,false,false,false,false,false,false,false,false,false,0.00,false,false,false,false
Bulgaria,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,false,false,false,false,0.00,0.00,0.01,0.00,false,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false
Burkina Faso,MtCO2e,0.33,0.33,0.33,0.33,0.33,0.33,0.30,0.29,0.45,0.34,0.40,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burundi,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,false,0.00,false,0.00,false,0.00,0.00,false,false,0.01,false,false,0.00,false,false,false,false,false
Cape Verde,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Comoros,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,false,false,0.00,false,false,false,false,false,false,0.01,false,false,0.00,false,false,false,false,false,false,0.00,false,false,false
Cook Islands,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Croatia,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.01,false,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,false,0.01,0.00,false,0.00,0.00,false,0.00,false
